Date,Open,High,Low,Close,Volume
2005-09-21,45.397,45.495,44.562,44.562,116209
2005-09-22,44.661,44.983,44.134,44.808,82747
2005-09-23,44.661,45.15,44.5,44.845,70197
2005-09-26,44.579,44.761,44.407,44.684,23527
2005-09-27,44.661,44.684,44.051,44.571,78821
2005-09-28,44.601,44.601,44.034,44.14,46792
2005-09-29,44.14,44.976,44.02,44.967,52680
2005-09-30,45.189,45.679,45.189,45.679,72157
2005-10-03,45.761,45.761,45.106,45.549,62090
2005-10-04,45.679,45.679,44.776,44.776,69805
2005-10-05,44.776,44.776,44.012,44.079,83658
2005-10-06,44.134,44.317,43.621,44.02,91240
2005-10-07,44.111,44.111,43.24,43.566,51630
2005-10-10,43.566,43.566,42.933,43.008,102612
2005-10-11,43.216,43.216,42.596,42.819,33593
2005-10-12,42.711,42.711,41.693,42.045,103138
2005-10-13,42.006,42.405,41.595,42.053,56602
2005-10-14,42.62,43.094,42.329,43.031,87976
2005-10-17,43.078,43.277,42.9,43.277,143266
2005-10-18,43.277,43.338,42.673,42.864,50327
2005-10-19,42.48,43.391,42.329,43.347,63398
2005-10-20,43.222,43.429,42.549,42.657,84441
2005-10-21,42.683,43.407,42.683,43.07,72285
2005-10-24,43.782,44.056,43.72,43.941,123923
2005-10-25,43.912,44.172,43.591,43.766,26536
2005-10-26,43.766,43.81,43.201,43.315,47190
2005-10-27,43.291,43.306,42.849,42.849,57254
2005-10-28,43.438,44.18,43.407,44.14,120521
2005-10-31,44.44,44.67,44.303,44.369,238559
2005-11-01,44.369,44.369,42.978,43.383,99738
2005-11-02,43.515,43.81,43.16,43.79,55295
2005-11-03,43.941,44.317,43.475,43.658,82877
2005-11-04,43.644,43.652,43.07,43.407,28103
2005-11-07,43.757,43.929,43.453,43.613,40262
2005-11-08,43.475,43.644,43.16,43.489,20262
2005-11-09,43.636,44.378,43.636,43.98,41569
2005-11-10,43.827,45.051,43.751,45.028,27844
2005-11-11,45.044,45.341,44.907,45.205,43398
2005-11-14,45.563,45.563,45.0,45.166,30328
2005-11-15,45.311,45.465,44.952,45.144,33855
2005-11-16,45.189,45.189,44.684,44.892,23398
2005-11-17,44.937,45.663,44.853,45.634,37386
2005-11-18,45.761,45.908,45.457,45.794,101566
2005-11-21,45.839,46.19,45.549,46.022,51765
2005-11-22,45.648,46.667,45.648,46.612,56864
2005-11-23,46.512,46.819,46.375,46.819,36342
2005-11-25,46.771,46.972,46.673,46.972,9543
2005-11-28,46.881,46.881,46.375,46.461,49543
2005-11-29,46.405,46.626,46.297,46.487,21830
2005-11-30,46.667,46.78,46.183,46.214,37778
2005-12-01,46.345,47.024,46.345,46.889,53460
2005-12-02,46.832,46.925,46.375,46.651,23790
2005-12-05,46.825,46.825,46.154,46.475,27973
2005-12-06,46.857,46.857,46.282,46.321,37257
2005-12-07,46.353,46.475,45.761,46.085,38040
2005-12-08,45.948,46.909,45.948,46.428,76862
2005-12-09,46.445,46.728,46.276,46.553,28887
2005-12-12,46.849,46.857,46.289,46.58,39738
2005-12-13,46.574,46.849,46.369,46.811,26536
2005-12-14,46.804,47.157,46.62,46.902,57775
2005-12-15,47.002,47.195,46.537,46.545,36993
2005-12-16,46.857,46.881,46.557,46.712,14118
2005-12-19,46.72,46.72,46.085,46.098,37257
2005-12-20,45.948,46.313,45.817,46.16,41046
2005-12-21,46.16,46.461,46.16,46.437,81046
2005-12-22,46.254,46.742,45.916,46.704,58302
2005-12-23,46.819,47.041,46.78,46.866,55948
2005-12-27,46.069,46.098,45.769,45.769,79607
2005-12-28,46.029,46.029,45.556,45.717,118562
2005-12-29,45.94,46.029,45.441,45.479,90978
2005-12-30,45.441,45.569,45.275,45.349,56472
2006-01-03,45.641,46.421,45.044,46.27,91896
2006-01-04,46.606,46.612,46.23,46.606,98040
2006-01-05,46.626,47.186,46.626,46.964,40654
2006-01-06,47.214,47.422,46.981,47.408,47060
2006-01-09,47.666,47.813,47.401,47.813,64310
2006-01-10,47.813,48.346,47.56,48.105,71760
2006-01-11,48.287,48.287,47.95,48.172,54772
2006-01-12,48.211,48.211,47.881,48.043,178297
2006-01-13,48.043,48.043,47.247,47.447,56207
2006-01-17,47.447,47.447,46.917,47.256,77780
2006-01-18,47.247,47.401,47.024,47.247,42748
2006-01-19,47.362,47.906,47.263,47.842,77125
2006-01-20,47.899,47.899,47.202,47.377,64051
2006-01-23,47.591,47.706,47.429,47.591,55948
2006-01-24,47.731,48.097,47.706,47.95,104311
2006-01-25,48.097,48.279,47.775,47.981,1984940
2006-01-26,48.181,48.287,47.906,48.135,1840891
2006-01-27,48.502,48.921,48.346,48.677,2464150
2006-01-30,48.869,48.869,48.472,48.639,1723766
2006-01-31,48.472,49.022,48.464,48.769,554109
2006-02-01,48.846,49.212,48.731,49.0,64963
2006-02-02,48.944,48.985,48.509,48.655,87189
2006-02-03,48.548,48.548,47.715,48.228,105882
2006-02-06,48.228,48.41,48.135,48.41,130454
2006-02-07,48.448,48.455,47.989,48.035,89542
2006-02-08,47.996,47.996,47.429,47.822,75687
2006-02-09,47.899,48.22,47.706,48.052,57121
2006-02-10,47.981,48.295,47.682,48.097,490452
2006-02-13,48.157,48.181,47.989,48.157,59738
2006-02-14,48.157,48.502,47.784,48.426,64183
2006-02-15,48.248,48.854,48.242,48.854,782865
2006-02-16,48.885,49.212,48.854,49.18,94637
2006-02-17,49.306,49.71,47.697,49.71,73720
2006-02-21,49.795,49.895,49.497,49.648,80001
2006-02-22,49.762,50.276,49.497,50.201,61043
2006-02-23,50.209,50.276,49.779,50.114,74247
2006-02-24,50.114,50.114,49.702,49.847,68630
2006-02-27,50.022,50.062,49.681,49.855,72675
2006-02-28,49.734,49.955,49.497,49.681,76469
2006-03-01,50.406,50.406,49.581,49.963,55164
2006-03-02,49.727,49.901,49.595,49.901,36993
2006-03-03,49.833,49.833,49.406,49.634,131110
2006-03-06,50.062,51.057,49.87,50.527,78297
2006-03-07,50.527,51.295,49.833,49.917,50327
2006-03-08,49.931,50.177,49.497,50.177,97646
2006-03-09,50.23,50.774,50.022,50.589,72941
2006-03-10,50.695,51.079,50.453,51.05,87709
2006-03-13,51.249,51.348,50.513,50.711,73720
2006-03-14,50.851,51.202,50.695,51.079,56730
2006-03-15,51.295,52.143,51.295,52.046,74509
2006-03-16,52.12,52.886,52.112,52.588,59215
2006-03-17,52.77,53.076,52.374,53.053,125881
2006-03-20,53.037,53.037,51.683,51.859,126405
2006-03-21,51.768,51.958,51.028,51.262,287710
2006-03-22,51.325,51.477,51.019,51.378,53069
2006-03-23,51.202,51.561,51.202,51.51,186928
2006-03-24,51.967,51.967,51.249,51.432,151762
2006-03-27,51.378,51.423,50.704,50.844,78821
2006-03-28,50.859,51.7,50.661,51.401,97253
2006-03-29,51.775,52.525,51.775,52.366,102221
2006-03-30,52.503,52.503,51.378,51.607,126665
2006-03-31,51.797,51.914,51.249,51.716,120521
2006-04-03,51.891,51.983,50.704,50.827,74768
2006-04-04,50.936,50.995,50.254,50.477,127973
2006-04-05,50.957,51.002,50.589,50.752,71634
2006-04-06,50.568,50.865,50.513,50.544,82221
2006-04-07,50.628,50.637,49.779,49.779,139997
