Date,Open,High,Low,Close,Volume
2007-04-02,107.87,107.91,107.79,107.88,23228
2007-04-03,107.93,107.95,107.86,107.9,25247
2007-04-04,107.95,107.99,107.94,107.96,21006
2007-04-05,107.97,107.99,107.93,107.95,16560
2007-04-09,107.95,107.97,107.93,107.96,34742
2007-04-10,107.96,108.0,107.96,107.99,18176
2007-04-11,108.01,108.07,108.01,108.02,11816
2007-04-12,108.04,108.06,108.03,108.05,31816
2007-04-13,108.05,108.07,108.03,108.07,52517
2007-04-16,108.07,108.09,108.04,108.09,40501
2007-04-17,108.1,108.11,108.07,108.1,20400
2007-04-18,108.14,108.17,108.14,108.17,32117
2007-04-19,108.16,108.18,108.15,108.18,78777
2007-04-20,108.18,108.2,108.13,108.17,71404
2007-04-23,108.19,108.22,108.19,108.2,21614
2007-04-24,108.22,108.25,108.2,108.22,15351
2007-04-25,108.23,108.27,108.21,108.25,43227
2007-04-26,108.27,108.28,108.22,108.22,852921
2007-04-27,108.24,108.29,108.24,108.26,16766
2007-04-30,108.26,108.3,108.26,108.28,11714
2007-05-01,107.99,107.99,107.93,107.98,55748
2007-05-02,108.03,108.04,107.97,108.03,117763
2007-05-03,108.05,108.06,107.99,108.04,57262
2007-05-04,108.06,108.07,108.02,108.06,15954
2007-05-07,108.04,108.07,108.04,108.04,8078
2007-05-08,108.07,108.09,108.07,108.08,9091
2007-05-09,108.12,108.14,108.1,108.14,48681
2007-05-10,108.15,108.17,108.12,108.15,43227
2007-05-11,108.16,108.18,108.15,108.16,11409
2007-05-14,108.18,108.2,108.15,108.17,19089
2007-05-15,108.21,108.22,108.16,108.21,208764
2007-05-16,108.26,108.28,108.24,108.27,14541
2007-05-17,108.25,108.29,108.24,108.28,16661
2007-05-18,108.29,108.3,108.23,108.29,37772
2007-05-21,108.26,108.3,108.26,108.29,30903
2007-05-22,108.3,108.31,108.28,108.29,6766
2007-05-23,108.35,108.36,108.34,108.35,21411
2007-05-24,108.36,108.37,108.34,108.37,4539
2007-05-25,108.4,108.4,108.35,108.39,38783
2007-05-29,108.36,108.4,108.36,108.4,13330
2007-05-30,108.41,108.45,108.41,108.45,10098
2007-05-31,108.43,108.48,108.43,108.46,15853
2007-06-01,108.05,108.06,108.03,108.06,16766
2007-06-04,108.08,108.11,108.06,108.11,63725
2007-06-05,108.08,108.11,108.06,108.1,20400
2007-06-06,108.15,108.16,108.11,108.12,129379
2007-06-07,108.17,108.17,108.12,108.17,29290
2007-06-08,108.18,108.19,108.14,108.19,29086
2007-06-11,108.19,108.2,108.15,108.2,11919
2007-06-12,108.21,108.22,108.16,108.21,86957
2007-06-13,108.24,108.26,108.19,108.19,294706
2007-06-14,108.26,108.27,108.22,108.27,40501
2007-06-15,108.3,108.3,108.25,108.3,76050
2007-06-18,108.25,108.31,108.25,108.31,38377
2007-06-19,108.34,108.34,108.32,108.34,21815
2007-06-20,108.38,108.38,108.34,108.37,41006
2007-06-21,108.4,108.4,108.36,108.38,80091
2007-06-22,108.41,108.41,108.38,108.41,43835
2007-06-25,108.43,108.44,108.39,108.42,54638
2007-06-26,108.41,108.43,108.41,108.42,66754
2007-06-27,108.46,108.49,108.46,108.46,297131
2007-06-28,108.5,108.58,108.47,108.49,60293
2007-06-29,108.51,108.58,108.47,108.52,1685734
2007-07-02,108.08,108.08,107.99,108.05,1677052
2007-07-03,108.06,108.1,108.03,108.03,88773
2007-07-05,108.08,108.09,108.03,108.08,36158
2007-07-06,108.1,108.1,108.05,108.08,46155
2007-07-09,108.1,108.11,108.09,108.11,18682
2007-07-10,108.14,108.16,108.1,108.15,368739
2007-07-11,108.18,108.18,108.14,108.15,20097
2007-07-12,108.19,108.19,108.14,108.17,24134
2007-07-13,108.19,108.2,108.16,108.19,142004
2007-07-16,108.21,108.21,108.18,108.2,53730
2007-07-17,108.22,108.22,108.18,108.22,23228
2007-07-18,108.26,108.27,108.22,108.25,38175
2007-07-19,108.27,108.27,108.23,108.27,28377
2007-07-20,108.29,108.31,108.26,108.31,72516
2007-07-23,108.29,108.32,108.28,108.31,13533
2007-07-24,108.3,108.32,108.29,108.32,30398
2007-07-25,108.34,108.39,108.34,108.35,33329
