Date,Open,High,Low,Close,Volume
2007-09-27,45.69,45.699,45.64,45.65,60545
2007-09-28,45.63,45.68,45.63,45.63,246598
2007-10-01,45.49,45.53,45.48,45.51,44050
2007-10-02,45.5,45.54,45.49,45.49,157292
2007-10-03,45.51,45.54,45.49,45.5,263899
2007-10-04,45.54,45.55,45.53,45.55,9454
2007-10-05,45.52,45.58,45.5,45.5,44652
2007-10-08,45.52,45.58,45.51,45.57,16695
2007-10-09,45.56,45.58,45.54,45.54,733059
2007-10-10,45.55,45.59,45.55,45.58,43045
2007-10-11,45.59,45.59,45.56,45.57,20513
2007-10-12,45.6,45.6,45.56,45.58,28664
2007-10-15,45.58,45.59,45.56,45.56,65271
2007-10-16,45.58,45.6,45.57,45.59,28864
2007-10-17,45.59,45.61,45.57,45.61,119378
2007-10-18,45.64,45.65,45.61,45.61,24941
2007-10-19,45.64,45.65,45.6,45.65,202248
2007-10-22,45.62,45.64,45.59,45.63,372213
2007-10-23,45.64,45.65,45.61,45.63,25746
2007-10-24,45.65,45.65,45.61,45.65,55312
2007-10-25,45.65,45.65,45.62,45.64,24338
2007-10-26,45.64,45.66,45.62,45.62,31983
2007-10-29,45.64,45.66,45.62,45.66,15287
2007-10-30,45.67,45.67,45.64,45.64,10560
2007-10-31,45.66,45.67,45.64,45.64,26549
2007-11-01,45.51,45.54,45.5,45.53,65873
2007-11-02,45.53,45.56,45.51,45.56,17602
2007-11-05,45.56,45.57,45.53,45.56,33791
2007-11-06,45.56,45.56,45.52,45.56,33791
2007-11-07,45.53,45.63,45.53,45.59,440120
2007-11-08,45.57,45.6,45.55,45.56,296481
2007-11-09,45.62,45.62,45.58,45.6,18905
2007-11-12,45.6,45.62,45.59,45.62,145627
2007-11-13,45.61,45.63,45.59,45.61,63158
2007-11-14,45.59,45.62,45.57,45.59,203039
2007-11-15,45.6,45.64,45.57,45.62,464435
2007-11-16,45.63,45.63,45.6,45.62,49178
2007-11-19,45.62,45.64,45.58,45.64,118974
2007-11-20,45.61,45.65,45.59,45.65,82369
2007-11-21,45.65,45.67,45.62,45.67,67482
2007-11-23,45.64,45.68,45.64,45.68,15387
2007-11-26,45.709,45.709,45.62,45.65,48947
2007-11-27,45.64,45.69,45.64,45.69,42440
2007-11-28,45.69,45.709,45.65,45.699,106000
2007-11-29,45.66,45.709,45.66,45.67,73516
2007-11-30,45.719,52.778,45.65,45.68,551731
2007-12-03,45.61,45.62,45.53,45.53,241470
2007-12-04,45.54,45.58,45.53,45.54,182536
2007-12-05,45.54,45.57,45.53,45.54,56119
2007-12-06,45.55,45.58,45.5,45.55,579689
2007-12-07,45.53,45.59,45.53,45.59,88260
2007-12-10,45.59,46.83,45.56,45.56,414451
2007-12-11,45.59,45.62,45.53,45.62,84075
2007-12-12,45.61,45.63,45.57,45.61,49683
2007-12-13,45.39,45.64,45.39,45.63,54912
2007-12-14,45.63,45.64,45.59,45.6,66376
2007-12-17,45.6,45.65,45.59,45.61,90010
2007-12-18,45.57,45.62,45.56,45.62,53302
2007-12-19,45.64,45.65,45.57,45.63,51896
2007-12-20,45.61,45.67,45.61,45.66,29566
2007-12-21,45.67,45.68,45.64,45.66,128830
2007-12-24,45.67,45.67,45.63,45.66,5834
2007-12-26,45.63,45.67,45.63,45.64,35701
2007-12-27,45.68,45.68,45.63,45.66,14381
2007-12-28,45.55,45.56,45.53,45.53,120000
2007-12-31,45.56,45.56,45.52,45.52,63725
2008-01-02,45.55,45.56,45.52,45.56,59217
2008-01-03,45.56,45.56,45.53,45.53,61256
2008-01-04,45.58,45.58,45.5,45.52,348309
2008-01-07,45.53,45.55,45.52,45.55,60945
2008-01-08,45.55,45.57,45.51,45.52,36910
2008-01-09,45.57,45.57,45.5,45.5,338923
2008-01-10,45.54,45.55,45.5,45.52,24539
2008-01-11,45.55,45.58,45.53,45.54,83704
2008-01-14,45.56,45.59,45.54,45.58,104359
2008-01-15,45.59,45.59,45.54,45.57,53888
2008-01-16,45.58,45.59,45.5,45.57,511892
2008-01-17,45.56,45.59,45.54,45.55,765062
2008-01-18,45.56,45.6,45.55,45.58,143653
2008-01-22,45.61,45.64,45.56,45.6,234066
2008-01-23,45.63,45.66,45.6,45.65,179290
2008-01-24,45.61,45.67,45.6,45.67,96012
2008-01-25,45.63,45.69,45.62,45.62,65760
2008-01-28,45.699,45.699,45.64,45.64,52438
2008-01-29,45.64,45.69,45.62,45.68,134055
2008-01-30,45.64,45.719,45.63,45.699,120832
2008-01-31,45.65,45.719,45.65,45.699,52597
2008-02-01,45.879,45.879,45.53,45.58,71331
2008-02-04,45.54,45.59,45.54,45.59,101175
2008-02-05,45.59,45.6,45.52,45.56,77889
