Date,Open,High,Low,Close,Volume
2005-10-10,16.793,16.793,16.587,16.63,385526
2005-10-11,16.647,16.69,16.494,16.545,996192
2005-10-12,16.527,16.596,16.321,16.355,874011
2005-10-13,16.184,16.373,16.141,16.373,1572267
2005-10-14,16.442,16.553,16.355,16.518,958571
2005-10-17,16.518,16.518,16.39,16.4,325076
2005-10-18,16.226,16.287,16.167,16.175,490699
2005-10-19,15.927,16.226,15.857,16.226,2189222
2005-10-20,16.132,16.132,15.865,15.908,844543
2005-10-21,16.055,16.055,15.832,15.901,495475
2005-10-24,15.935,16.226,15.935,16.226,242729
2005-10-25,16.201,16.261,16.089,16.132,606940
2005-10-26,16.089,16.261,16.089,16.124,242264
2005-10-27,16.184,16.184,15.961,15.961,250416
2005-10-28,16.003,16.141,15.961,16.089,403112
2005-10-31,16.167,16.278,16.141,16.226,3653985
2005-11-01,16.226,16.278,16.158,16.201,416740
2005-11-02,16.244,16.527,16.201,16.475,453312
2005-11-03,16.587,16.605,16.39,16.424,404626
2005-11-04,16.373,16.442,16.158,16.236,939236
2005-11-07,16.321,16.373,16.244,16.311,239004
2005-11-08,16.201,16.253,16.106,16.167,985126
2005-11-09,16.132,16.287,16.106,16.287,1514962
2005-11-10,16.218,16.296,16.098,16.21,713513
2005-11-11,16.311,16.39,16.253,16.382,147105
2005-11-14,16.382,16.4,16.253,16.305,118570
2005-11-15,16.33,16.407,16.261,16.363,322396
2005-11-16,16.296,16.311,16.201,16.244,476840
2005-11-17,16.339,16.527,16.339,16.527,348370
2005-11-18,16.527,16.596,16.407,16.596,228170
2005-11-21,16.717,16.717,16.57,16.647,605194
2005-11-22,16.605,16.828,16.527,16.811,1148654
2005-11-23,16.725,16.802,16.673,16.75,4007247
2005-11-25,16.769,16.769,16.587,16.657,1138405
2005-11-28,16.708,16.785,16.621,16.699,1067125
2005-11-29,16.776,16.802,16.666,16.759,660865
2005-11-30,16.657,16.802,16.657,16.708,631515
2005-12-01,16.021,16.949,16.021,16.949,654228
2005-12-02,16.888,17.007,16.863,16.982,874011
2005-12-05,17.06,17.06,16.888,17.007,241448
2005-12-06,17.094,17.146,17.0,17.06,825327
2005-12-07,17.033,17.033,16.836,16.854,291064
2005-12-08,16.922,17.129,16.879,17.033,217455
2005-12-09,16.991,17.119,16.991,17.068,157703
2005-12-12,17.3,17.342,17.24,17.327,2047242
2005-12-13,17.3,17.454,17.248,17.421,388671
2005-12-14,17.393,17.445,17.369,17.387,773612
2005-12-15,17.387,17.387,17.248,17.342,1200252
2005-12-16,17.472,17.601,17.464,17.575,533328
2005-12-19,17.593,17.617,17.515,17.55,249252
2005-12-20,17.541,17.541,17.3,17.403,166556
2005-12-21,17.498,17.498,17.387,17.464,661915
2005-12-22,17.472,17.575,17.464,17.523,145591
2005-12-23,17.532,17.532,17.445,17.506,136856
2005-12-27,17.601,17.61,17.464,17.498,619985
2005-12-28,17.635,17.687,17.523,17.557,239004
2005-12-29,17.617,17.617,17.541,17.584,468221
2005-12-30,17.29,17.438,17.29,17.438,759636
2006-01-03,17.815,18.056,17.342,17.995,1470936
2006-01-04,18.151,18.278,18.099,18.271,1692699
2006-01-05,18.194,18.202,18.116,18.202,618936
2006-01-06,18.357,18.391,18.245,18.374,625109
2006-01-09,18.323,18.33,18.175,18.263,498038
2006-01-10,18.074,18.151,18.056,18.151,329385
2006-01-11,18.263,18.33,18.22,18.323,463213
2006-01-12,18.528,18.536,18.099,18.151,474743
2006-01-13,18.013,18.175,17.995,18.175,566872
2006-01-17,18.074,18.081,17.953,18.081,1108006
2006-01-18,17.859,17.944,17.781,17.911,1032414
2006-01-19,17.962,18.031,17.901,17.962,287804
2006-01-20,17.953,17.953,17.601,17.61,1147491
2006-01-23,17.85,17.962,17.815,17.953,193110
2006-01-24,17.944,18.031,17.867,17.988,407306
2006-01-25,18.202,18.245,18.074,18.211,1116858
2006-01-26,18.459,18.647,18.459,18.647,2015444
2006-01-27,18.837,18.837,18.647,18.699,1448224
2006-01-30,18.845,18.845,18.674,18.751,838605
2006-01-31,18.742,18.915,18.674,18.845,559885
2006-02-01,18.879,18.992,18.819,18.983,444228
2006-02-02,18.94,18.94,18.639,18.665,1196642
2006-02-03,18.501,18.655,18.339,18.58,1168571
2006-02-06,18.545,18.632,18.477,18.545,272778
2006-02-07,18.477,18.58,18.426,18.435,484409
2006-02-08,18.545,18.647,18.435,18.647,421632
2006-02-09,18.717,18.828,18.708,18.725,828472
2006-02-10,18.837,18.863,18.588,18.682,508520
2006-02-13,18.639,18.759,18.613,18.682,1693630
2006-02-14,18.717,18.888,18.588,18.888,1520319
2006-02-15,18.837,18.922,18.665,18.777,766041
2006-02-16,18.828,18.872,18.725,18.854,581317
2006-02-17,18.957,18.992,18.854,18.992,584925
2006-02-21,19.06,19.086,18.845,18.888,503163
2006-02-22,18.974,19.138,18.905,19.138,531232
2006-02-23,19.19,19.19,19.016,19.078,521450
2006-02-24,19.147,19.171,19.035,19.078,389950
2006-02-27,19.06,19.223,19.06,19.199,431648
2006-02-28,19.138,19.147,18.905,18.93,1913766
2006-03-01,19.008,19.19,19.008,19.19,836624
2006-03-02,18.992,19.086,18.897,19.086,702331
2006-03-03,18.888,18.957,18.802,18.888,2511385
2006-03-06,18.94,19.0,18.811,18.845,429669
2006-03-07,18.639,18.734,18.596,18.622,689055
2006-03-08,18.528,18.622,18.442,18.604,2390487
2006-03-09,18.655,18.699,18.613,18.622,1818023
2006-03-10,18.759,18.957,18.647,18.897,919670
2006-03-13,19.128,19.147,19.06,19.086,840585
2006-03-14,19.052,19.362,19.052,19.362,1105210
